product_name,price,original_price,discount,category
"HP Refurbished EliteBook RAM 8GB HDD 500GB Core I5 14"" Windows, Office Basic Software Installed","KSh 18,999","KSh 25,000",24%,computing
"Apple MacBook Pro 13"" Core I5 2.4GHz 8GB RAM, 500GB HDD (2012) Silver Refurbished","KSh 24,997","KSh 32,000",22%,computing
Starlink Ethernet Adapter For Wired External Network (1YR WRTY),"KSh 10,273","KSh 15,000",32%,computing
Foldable Adjustable Portable ABS+silicone Desk Laptop Holder Stand,KSh 800,"KSh 1,200",33%,computing
VGA To HDMI Converter Adapter CableWithAudioOutput,KSh 660,"KSh 1,300",49%,computing
RichRipple 12inch LCD Writing Tablet Graphic Digital Handwriting Pads Multicolor Screen,KSh 615,"KSh 1,199",49%,computing
1.8M HDMI To VGA Cable,KSh 757,"KSh 1,500",50%,computing
Qwen Wireless Mouse Rechargeable Slient Mouse 2.4GHz,KSh 460,KSh 800,43%,computing
"Lenovo Refurbished ThinkPad Yoga 11e X360 Intel -Touchscreen- 11.6""- 4GB RAM - SSD 128GB - Black (6 Months WRTY)","KSh 12,000","KSh 22,500",47%,computing
USB Bluetooth Adapter Bluetooth Receiver Bluetooth Dongle,KSh 467,KSh 900,48%,computing
Bluetooth + 2.4G Wireless Dual-mode LED Rechargeable Mouse,KSh 327,KSh 600,46%,computing
Wireless Mouse & Keyboard Combo -White,"KSh 1,327","KSh 2,800",53%,computing
Mouse Pad 80 * 30 CM Keyboard Mat Gaming Mouse Pad Thick Non-Slip Keyboard Mat.,KSh 649,KSh 850,24%,computing
Sandisk 16gb 32gb 64gb 128gb OTG USB Flash Disk,"KSh 825 - KSh 2,150","KSh 1,500 - KSh 2,900",47%,computing
Advance Original  64GB/ 32GB / 16GB /  8GB Flash Disk,KSh 480 - KSh 800,"KSh 900 - KSh 1,400",50%,computing
Foldable Aluminum Laptop Stand Desktop Laptop Holder Laptop Stand-black,KSh 600,"KSh 1,000",40%,computing
300M WiFi Wireless WiFi Repeater WiFi Range Extender,"KSh 1,050","KSh 2,250",53%,computing
Mouse Pad Relieve Stress Comfy EVA Wrist Support-Black,KSh 195,KSh 293,33%,computing
Seagate Laptop internal  500gb Harddisk Slim Laptop HDD Hard Disk.,"KSh 1,478","KSh 3,500",58%,computing
Bluetooth + 2.4G Wireless Dual-mode LED Rechargeable Mouse,KSh 327,KSh 600,46%,computing
"X Tigi HeroBook 10.1""- Android - Quad Core-3Gb RAM-64Gb ROM- 4000mAh-12 Months Warranty","KSh 9,999","KSh 19,588",49%,computing
RichRipple Wired Wood Desktop Speakers Bass Stereo Subwoofer Sound Box Computer Speakers,KSh 979,"KSh 1,561",37%,computing
"HP Refurbished Elitebook 840 Core I5, Slim Model , 8GB RAM 500GB HDD -14"", Black (6M WRTY)","KSh 17,999","KSh 29,999",40%,computing
Darkhorsir 64GB Metallic High Speed USB Flash Drive/Disk-B With Free Mouse Pad,KSh 599,"KSh 1,106",46%,computing
Mouse Mat PC Wrist Rest Support,KSh 288,KSh 399,28%,computing
Portable Wired USB Mouse,KSh 404,KSh 480,16%,computing
"HP EliteBook 820 G3 Intel Core I5 8GB-256GB SSD 6th Gen Refurbished Silver-13"" Windows 10 Pro 64bit Office Activated","KSh 21,999","KSh 30,000",27%,computing
Qwen High Speed Memory Card -32GB-Blue,KSh 499,KSh 800,38%,computing
Lenovo Refurbished Thinkpad Intel Core I5 8 GB RAM 500 GB HDD 12.5'' Black (6 Months WRTY),"KSh 17,999","KSh 37,500",52%,computing
"Lenovo Refurbished Thinkpad X240-Core I5,8GB Ram,500GB HDD Storage 12.5''","KSh 15,999","KSh 30,000",47%,computing
Desktop Computer Keyboard - Black,KSh 699,KSh 800,13%,computing
Anti Theft Laptop Bag  Travel Backpack Grey,"KSh 1,241","KSh 1,940",36%,computing
HP  2.0 High Speed 32GB Metallic Flash Disk,KSh 599,"KSh 1,100",46%,computing
"HP V250W //16GB Flash Disk Drive//C.E""",KSh 500,KSh 700,29%,computing
16GB FLASH DISK -White,KSh 329,KSh 500,34%,computing
"Lenovo Refurbished Thinkpad X131e - 11.6"" - Intel Dual-Ccore - 4GB RAM - 320GB HDD - Black (6 Months WRTY)","KSh 13,498","KSh 14,999",10%,computing
Wireless Mouse And Keyboard - 2.4 GHZ Numeric Keyboard,"KSh 1,297","KSh 2,200",41%,computing
HDMI To VGA Adapter (Analog Converter) Cable,KSh 451,KSh 799,44%,computing
HP V250W Flash Disk With Clip - 64GB - Silver PLUS FR,"KSh 1,120","KSh 1,500",25%,computing
"Lenovo Refurbished Thinkpad X131e 12"" Intel Celeron 4GB, 320GB - Black (6 Months WRTY)","KSh 12,899","KSh 18,999",32%,computing
128GB Pendrive USB Flash Drive Disk High Speed,KSh 999,"KSh 1,699",41%,computing
HP Chromebook 11 G7 -Intel Celeron - Storage 16GB SSD/ 4GB RAM - Type C- Wifi- Bluetooth &ndash; Camera -Refurb (6 M WRTY),"KSh 8,999","KSh 15,999",44%,computing
VIC Laptop Stand Foldable Holder Adjustable Tablet Computer Bracket,KSh 359,KSh 599,40%,computing
Lenovo Refurbished Thinkpad 11E Celeron - 4 GB RAM - SSD 128GB 11.6'' - Black (6 Months WRTY),"KSh 12,499","KSh 19,500",36%,computing
Portable  Adjustable Plastic Laptop Stand Fordable Laptop I Pad Stand,KSh 330,KSh 500,34%,computing
HP GAMING-LAPTOP -HP ELITEBOOK 755 AMD RYZEN 7 16GB RAM 256GB SSD (6M WRTY),"KSh 29,999","KSh 60,000",50%,computing
Portable  Adjustable Plastic Laptop Stand Foldable Laptop Ipad Stand,KSh 310,KSh 800,61%,computing
RichRipple Rechargeable 2.4G Wireless Slient Mouse Bluetooth 5.0 USB LED Ultrathin Mice,KSh 403,KSh 734,45%,computing
HP Invent Slim Optical Wireless Mouse 2.4GHz,KSh 579,KSh 960,40%,computing
"HP Elitebook 820 G3 6th Gen , Core I7, 16GB RAM-SSD 256GB -12.5"", Sliver Refurbished, 6 Months WRTY","KSh 27,899","KSh 45,000",38%,computing
Dp Light LED Rechargeable Bulb With USB - 20 W,KSh 450,KSh 700,36%,computing
6 In 1 SD Card Reader TF/Micro SD Memory Cards - OTG Flash Drive Adapter,KSh 499,KSh 750 - KSh 760,34%,computing
10 Speed Adjustable Laptop Stand+phone Stand,KSh 470,KSh 499,6%,computing
Fancy Laptop Sleeve/Pouch,KSh 450 - KSh 850,"KSh 800 - KSh 1,300",49%,computing
Wireless BLUETOOTH RECHARGEABLE MOUSE,KSh 600,KSh 750,20%,computing
HP 19.5V-2.31A 45W HP Blue Pin Adapter Original,"KSh 1,097","KSh 2,100",48%,computing
Gaming Keyboard Backlight RGB Wired Gaming Keyboard With Mouse,"KSh 1,499","KSh 2,499",40%,computing
128GB OTG Usb Flash Drive Micro Usb Type C All In One Unit,KSh 660,KSh 999,34%,computing
"HP EliteBook 820 Core I5 8GB RAM 512gb SSD Slim Ultrabook Laptop Refurbished, 6 Months WRTY (6 Months WRTY)","KSh 24,800","KSh 40,000",38%,computing
Annov USB Flash Drive Metal  USB2.0-128GB Free Earphone,"KSh 1,099","KSh 1,264",13%,computing
Universal Router 4G LTE Potable Pocket Mobile Wifi With SIM Card Fast Browser Long Battery Life,"KSh 3,997","KSh 7,900",49%,computing
"HP Elitebook 840 G3 , Adapter Charger Blue Pin - Complete With Power Cable","KSh 1,036","KSh 1,800",42%,computing
HP 64GB High Speed  Flash Disk + Type C OTG,KSh 850,"KSh 1,300",35%,computing
"HP DeskJet 2320 All-in-One Printer, Print, copy, scan, USB Interface, White (1YR WRTY)","KSh 8,640","KSh 10,000",14%,computing
10-layer Adjustable Folding Plastic Laptop Stand,KSh 288,KSh 590,51%,computing
USB C To USB C Cable 100W 5A E-MARK Fast Charging Cable,KSh 288 - KSh 699,KSh 299 - KSh 739,6%,computing
"Lenovo Refurbished Laptop ThinkPad Yoga 11e Touchscreen 11.6"" Laptop Intel Celeron 4GB RAM 128GB SSD Webcam HDMI Wifi With Windows 10","KSh 15,600","KSh 17,000",8%,computing
Bluetooth + 2.4G Wireless Dual-mode LED Rechargeable Mouse,KSh 317,KSh 600,47%,computing
Modio KIDS STUDY TABLET 256GB/6GB 4000mah 5G SIMCARD SLOT,"KSh 8,999","KSh 11,000 - KSh 12,000",25%,computing
8GB FLASH DISK - White,KSh 299,KSh 500,40%,computing
LED 2.4G Rechargeable Wireless Mouse,KSh 418,KSh 799,48%,computing
HP EliteBook 820 G3 Intel Core I5 8GB-256GB SSD Silver-12.6 inch Refurbished,"KSh 21,999","KSh 27,000",19%,computing
Rechargeable 2.4G Wireless Slient Mouse Bluetooth 5.0 USB LED Ultrathin Mouse,KSh 399,KSh 734,46%,computing
Qwen 128GB Flash Disks USB Flash Drive High Speed,"KSh 1,100","KSh 2,000",45%,computing
Microkingdom 2010 Desktop Laptop USB Multimedia Speaker,KSh 699,KSh 999,30%,computing
Qwen 32GB Mini USB Flash Disk Flash Drives Metal - Silver,KSh 569,KSh 800,29%,computing
HP 64GB Metallic Flash Disk Pen Drive+Free OTG,KSh 875,"KSh 1,400",38%,computing
HP Flash Disk drive With Clip - 64GB High Speed,KSh 575 - KSh 950,"KSh 800 - KSh 1,400",32%,computing
Foldable Portable Laptop Stand With Mobile Phone Stand 3 In 1 White,KSh 480,KSh 790,39%,computing
8 In 1 87W Type-C To PD+USB3.0x2+SD+TF+HDMI+RJ45+Type-c Docking Station HUB,"KSh 1,499","KSh 2,699",44%,computing
"UTP CAT 6 Patch Cord 1.5M, 3M, 5M, 10M, 20M","KSh 299 - KSh 1,399","KSh 480 - KSh 2,700",48%,computing
"Lenovo  Refurbished ThinkPad Yoga 11e Intel Celeron,X360 8GB RAM ,500GB HDD","KSh 16,000","KSh 29,000",45%,computing
tenda F3 N300 300 Mbps Wireless WiFi Router,"KSh 1,990","KSh 3,200",38%,computing
"LCD Drawing/Writing/Doodle Tablets, Erasable Pads","KSh 1,650","KSh 2,500",34%,computing
Metal Foldable Adjustable Hidden Stand Holder For Laptop,KSh 470,KSh 663,29%,computing
TP Link Tp - Link 300mbps Wireless Wifi Router- Recommend,"KSh 2,457","KSh 3,500",30%,computing
USB Rechargeble Handheld Fan Mini Hand-held Fan,KSh 499,KSh 831,40%,computing
HP GRAPHICS -HP ELITEBOOK 755 AMD RYZEN 7 16GB RAM 512GB SSD  REFURBISHED (6M WRTY),"KSh 34,999","KSh 60,000",42%,computing
Adjustable Laptop Stand Holder Foldable Black,"KSh 1,900","KSh 2,600",27%,computing
Acer REFUBRISHED X360 CHROMEBOOK 4GB RAM/32 HDD/TOUCHSCREEN.,"KSh 11,520","KSh 15,000",23%,computing
Sandisk 64GB Metal USB Flash Disk Pen Drives SanDisk,KSh 979,"KSh 1,463",33%,computing
"Hard Disk Casing External 2.5"" Hard Disk Drive Casing",KSh 849,"KSh 1,500",43%,computing
"Wireless Smart Tv, Android Wireless Keyboard + Mouse- Black","KSh 1,126","KSh 1,800",37%,computing
Webcam 1080P Full HD Computer Camera With Microphone,"KSh 1,988","KSh 3,976",50%,computing
"HP  Refurbished EliteBook 640GB HDD, 8GB RAM, Intel Core I5, 14'' Windows 11 PRO Activated, Office & Basic software Installed, Free Bag + Free wireless mouse + Charger + Mouse Pad","KSh 20,300","KSh 35,000",42%,computing
VGA Cable - 1.5M - Blue & Black,KSh 158,KSh 300,47%,computing
LASA Computer Monitor Laptop Notebook Riser Desk Stand,"KSh 1,950","KSh 3,400",43%,computing
Portable 4G MiFi 4G WiFi Router WiFi Modem 150Mbps Car Mobil,"KSh 2,168","KSh 4,336",50%,computing
"X Tigi HeroBook 10.1""- Quad Core - 4Gb RAM -128Gb ROM -Android Notebook- 4000mAh-13 Months Warranty","KSh 10,999","KSh 21,599",49%,computing
Type-c  Card Reader  Phone Computer USB  OTG2.0 SD/T,KSh 560,KSh 990,43%,computing
Samsung 25watts Super Charger Type C To Type C,"KSh 1,699","KSh 2,500",32%,computing
"HP Refurbished ProBook X360 11e G3 8GB 256GB SSD Intel Celeron 2-in-1 11.6"" Touchscreen Ultraslim Laptop + Bag (6M WRTY)","KSh 19,500","KSh 30,000",35%,computing
Bluetooth Wireless Mouse Silent Office Rechargeable Mouse,KSh 451,KSh 926,51%,computing
WD  (Western Digital) 500GB External Hard Disk Drive With Cable - Black,"KSh 3,500","KSh 4,500",22%,computing
"VGA Cable - 1.5M, 3M, 5M,10M",KSh 237 - KSh 854,"KSh 490 - KSh 1,700",52%,computing
"Lenovo 8GB RAM, 320GB HDD Refurbished  X131e 12.5"" Intel Celeron Windows 10pro Activated + Software","KSh 16,500","KSh 17,500",6%,computing
Barksdale High Speed USB HUB 3.0 4 Ports Extension Adapter,KSh 569,KSh 880,35%,computing
HP Wireless Mouse Slim +Free Mouse Pad,KSh 550,KSh 900,39%,computing
USB3.2 Type C To USB A Cable Data Transfer USB C SSD Hard Disk Cable 3A PD 60W,KSh 360 - KSh 499,KSh 568 - KSh 798,37%,computing
2.4G WiFi Repeater 300Mbps RJ45 Port Network Extender Remote Router,"KSh 1,056","KSh 2,000",47%,computing
Modio KIDS STUDY TABLETS 256GB/6GB 4000MAH 5G SIMCARD SLOT,"KSh 8,799","KSh 11,000",20%,computing
Metal Usb Flash Drive 256GB 512GB TB USB2.0 3.0,KSh 429 - KSh 799,"KSh 740 - KSh 1,480",46%,computing
Flexible Computer / Laptop Usb Keyboard - Black,KSh 699,"KSh 1,000",30%,computing
"USB Extension Cable Male To Female Extender 1.5M, 3M, 5M, 10M",KSh 257 - KSh 999,"KSh 490 - KSh 1,800",48%,computing
"Anti-Slip World Map Pattern Game Mouse Pad Keyboard Mat, Size: 60 X 30cm",KSh 639,"KSh 1,199",47%,computing
Wired Optical Mouse,KSh 400,KSh 450,11%,computing
2.4G  And Bluetooth 5.2/3.0 Three Modes Wireless RGB Mouse,KSh 450,KSh 860,48%,computing
Lenovo Thinkpad X250 Intel Core I5 8GB RAM 256GB SSD 12.5'' Black,"KSh 18,749","KSh 29,500",36%,computing
Sandisk  32GB USB Flash Disk - 32 GB Flash Drive,KSh 640,KSh 899,29%,computing
Wireless Mouse  Rechargeable Wireless Mice 2.4g-Silver,KSh 430,KSh 600,28%,computing
"tenda WIFI Router, Ethernet Cable And Cable Clips","KSh 3,000","KSh 6,000",50%,computing
16TB SSD Hard Disk Drive HDD Mobile External Storage Device,"KSh 1,310 - KSh 3,144","KSh 2,489 - KSh 5,895",47%,computing
Vista Adjustable Plastic Laptop Stand Foldable Portable Laptop Holder,KSh 417,KSh 750,44%,computing
"Universal SIM Modem For Safaricom, Airtel & Telkom","KSh 1,249","KSh 2,200",43%,computing
128G Mini High Speed U Disk 128GB Silver Color High Speed Compact USB,KSh 630,"KSh 1,000",37%,computing
900Mbps Wireless USB WiFi Adapter For Laptop/PC/Desktop,KSh 660,"KSh 1,300",49%,computing
Video Capture Live Broadcast Card  HDMI To USB HD*,"KSh 1,250","KSh 2,200",43%,computing
"2.4G Wireless Gaming Mouse , 2400DPI Mice For PC,Laptop,Macbook,Tablet",KSh 480,KSh 798,40%,computing
Advance 2pcs 64GB Flash Disk/64 GB FlashDisk,"KSh 1,499","KSh 2,000",25%,computing
Qwen 2.4G Wireless USB Keyboard Mouse Combo-White,"KSh 1,150","KSh 2,000",43%,computing
Lenovo ThinkPad X240 Intel Core I5 8GB RAM 500 GB HDD 12.5'' Black- Renewed,"KSh 16,450","KSh 25,000",34%,computing
Logitech G102 6-keys 6000DPI Wired Optical Gaming Mouse,"KSh 1,200","KSh 2,200",45%,computing
Professional Mixer Live Sound Card And Effects With DJ Mixer,"KSh 2,800","KSh 4,424",37%,computing
"HP  Refurbished EliteBook 256GB SSD 8GB RAM Intel Core i5 14'' Windows 11 PRO Activated, Office & Basic software Installed, Free Bag + Free wireless mouse + Charger + Mouse Pad","KSh 20,800","KSh 30,000",31%,computing
HP Laptop Charger 19V 4.74A BIG PIN With Power Cable,KSh 997,"KSh 1,500",34%,computing
USB to Ethernet Converter USB3.0 to RJ45 Network Adapter 10 100 1000 Mbps for Laptop Phone and Desktop RJ 45,KSh 855,"KSh 1,500",43%,computing
"Handheld Rechargeable Mini Fan//c.e""",KSh 590,"KSh 1,000",41%,computing
Portable Laptop Stand 10-level Adjustable Heat Dissipation,KSh 356,KSh 671,47%,computing
HP Refurbished Elitebook 820 G2 Core I5 8GB RAM 500gb Hdd Slim Ultrabook Laptop,"KSh 18,499","KSh 22,000",16%,computing
HP Wired Mouse X500 - Black,KSh 499,KSh 800,38%,computing
Darkhorsir 2.0 High Speed 16GB Memory Card/Mirco SD/TF Card With Free Mouse Pad,KSh 489,KSh 710,31%,computing
4G LTE Mobile WiFi Portable WiFi Hotspot 150Mbps MiFi With SIM Card Slot,"KSh 3,150","KSh 5,531",43%,computing
HP Probook 640 645 650 655 G1 Big Pin Charger Complete With Cable,"KSh 1,021","KSh 2,000",49%,computing
"Antitheft Laptop Bag 3 IN 1 - Fits 12"", 13"" And14""","KSh 1,500","KSh 2,000",25%,computing
LASA USB 3.0 To Type-c OTG,KSh 433,KSh 895,52%,computing
Aluminum Alloy Portable Laptop Stand Adjustable Height Foldable Computer Stand,KSh 545,KSh 985,45%,computing
Wireless Mouse  Rechargeable Wireless Mice 2.4g-Black,KSh 339,KSh 600,44%,computing
Toshiba 1TB Portable Hard Drive - Black (1000GB USB 3.0 External Hard Disk,"KSh 6,600","KSh 12,000",45%,computing
Microdata Memory Card Class 10 U3 Micro SD Card 16GB 32GB 64GB 128GB With A Free Adaptor,"KSh 580 - KSh 1,740","KSh 620 - KSh 1,920",9%,computing
OTG Usb Flash Drive 256GB 64GB TB USB2.0 3.0 Type-c,KSh 459 - KSh 533,KSh 740 - KSh 888,40%,computing
"Apple MacBook Pro 13"" Core I5 2.4GHz 8GB RAM, 500GB HDD (2012) Silver Refurbished","KSh 24,999","KSh 34,000",26%,computing
Transcend 8GB Flashdisk-BLACK,KSh 299,KSh 600,50%,computing
"HP V250W(64GB), Flash Disk Drive//metallic//Silver",KSh 980,"KSh 1,040",6%,computing
Backpack 5 In 1 Multi Functional School Backpack-ME-Black,"KSh 1,290","KSh 1,999",35%,computing
Aluminum Alloy Laptop Stand 6-level +Phone Holder,KSh 577,"KSh 1,000",42%,computing
HP EliteBook 820 G1 Intel Core I5 6th Gen 8GB RAM 256GB SSD 12.5 Inches,"KSh 21,700","KSh 29,000",25%,computing
"DELL Latitude 7280, Core I5 8GB RAM 256GB SSD, 12.5"" Refurbished","KSh 20,499","KSh 30,000",32%,computing
Fashion New Tablet Sleeve Laptop Bag Tablet Sleeve 13 14 15.6 Inch,KSh 399 - KSh 599,"KSh 798 - KSh 1,198",50%,computing
AV Digital HDMI Compatible To 3 RCA Audio Ad Ter Component Converter Video,KSh 530,"KSh 1,000",47%,computing
Epson EcoTank L3250 A4 WiFi Wireless All in One Ink Tank Printer + Free printer Cable (1YR WRTY),"KSh 25,999","KSh 40,000",35%,computing
Danjo Wired USB Gaming Mouse RGB Ergonomic Optical  Mouse For Computer,KSh 361,KSh 849,57%,computing
Barksdale SATA To USB 3.0 Adapter Cable For 2.5 Inch HDD/SSD Hard Drive Adapter Converter,KSh 560,"KSh 1,000",44%,computing
"HP Refurbished EliteBook 820, Intel Core I5, Slim Model ,8GB RAM , 500HDD, Black- 12.5"", 6 Months WRTY","KSh 18,599","KSh 28,000",34%,computing
OTG Usb Flash Drive 512GB 128GB TB USB2.0 3.0 Type-c,KSh 666,"KSh 1,184",44%,computing
"Ethernet LAN Network Internet Cable - 1.5M 3M, 5M, 10M",KSh 299 - KSh 799,KSh 450 - KSh 900,38%,computing
Bluetooth Adapter USB 5.0 Bluetooth Dongle Bluetooth Receiver Adapter,KSh 499,KSh 950,47%,computing
"HP Elitebook 840 G4 Intel Core I7 7Th Gen,16GB Ram,512GB SSD-Refurbished (6 M WRTY)","KSh 37,999","KSh 54,000",30%,computing
Hifinit MU64GK01 64GB USB Flash Disk Drives+Free Keyring,KSh 653,KSh 840,22%,computing
Sandisk OTG USB Drive 3.0 – 32GB - Black,KSh 748,"KSh 1,200",38%,computing
1.8M DISPLAY PORT DP TO HDMI CABLE,KSh 617,"KSh 1,000",38%,computing
Wireless Keyboard & Mouse Combo FOR PC & Smart TV,"KSh 1,180","KSh 2,000",41%,computing
"HP EliteBook 840 G2 Refurbished Intel Core I5 -8GB Ram -256GB SSD-Black-14""","KSh 20,499","KSh 30,000",32%,computing
Logitech M185 Wireless Mouse - Plug And Play,KSh 950,"KSh 1,500",37%,computing
HP REFURBISHED ELITEBOOK 840 G3 CORE I5 8GB 256GB SSD 14'' 6TH GEN,"KSh 22,999","KSh 31,000",26%,computing
Microdata Memory Card Class 10 U3 Micro SD Card 32GB With a Free Adaptor,KSh 694,KSh 780,11%,computing
World Map Pattern Mouse Pad 80*30cm Soft Rubber,KSh 366,KSh 710,48%,computing
Lenovo Small Pin Laptop Charger Adapter,KSh 917,"KSh 1,800",49%,computing
10-layer Adjustable Folding Plastic Laptop Stand,KSh 288,KSh 590,51%,computing
Advance 32GB USB Flashdisk-Silver,KSh 399,KSh 900,56%,computing
"HP Refurbished EliteBook 840 Touchscreen, Core I5, 8GB RAM , 500HDD, Win10 TRIAL, 14"" Black (6 Months WRTY)","KSh 21,999","KSh 29,999",27%,computing
Phone Memory Card 64GB High Speed .,KSh 765,"KSh 1,300",41%,computing
"Infinix InBook X2 - 14.0"", Intel Core i5, 8GB RAM, 512GB SSD - Windows 11 Home - Grey (1YR WRTY)","KSh 48,500","KSh 96,999",50%,computing
